index,Age,Prime mensuelle,Categorie socio professionnelle,Kilometres parcourus par mois,Coefficient bonus malus,Type de vehicule,Score CRM,Niveau de vie,Marque,Salaire annuel,Score credit,Cout entretien annuel,Benefice net annuel
1071,33.0,29.0,Etudiant,577,104,3 portes,136,6920,Citroen,49920,683,993,-8.10352664759
1072,29.0,14.0,Ouvrier,211,82,3 portes,113,3005,Renault,23940,191,579,2.07168129192
1073,18.0,8.0,Cadre,348,98,5 portes,125,7545,Peugeot,52660,300,854,1.80679658454
1074,26.0,16.0,Cadre,644,123,3 portes,142,9421,Peugeot,61870,660,964,-17.9890571337
1075,33.0,24.0,Ouvrier,741,100,SUV,141,3482,Renault,24270,531,1099,34.3603174981
1076,25.0,9.0,Ouvrier,715,73,3 portes,99,4138,,37200,10,868,-17.5888651203
1077,25.0,14.0,Etudiant,958,122,SUV,152,1244,Opel,6320,446,612,49.6992490513
1078,23.0,26.0,Cadre,489,97,Utilitaire,121,6862,Renault,53660,70,787,33.6985893674
1079,68.0,18.0,Cadre,889,103,5 portes,171,7088,Toyota,53040,571,823,14.3665463128
1080,57.0,32.0,Etudiant,800,108,SUV,164,5493,Toyota,42510,270,769,44.4218939151
1081,33.0,39.0,Cadre,758,94,SUV,124,345,Peugeot,8840,719,732,38.0153838306
1082,39.0,11.0,Ouvrier,875,85,5 portes,129,1009,Opel,11440,129,638,14.8667791351
1083,49.0,14.0,Ouvrier,912,89,SUV,130,4605,Citroen,35690,918,626,41.0995178633
1084,58.0,1.0,Ouvrier,757,104,Utilitaire,173,9381,Citroen,67810,150,725,58.4062581903
1085,22.0,24.0,Etudiant,249,100,SUV,123,3617,Opel,25510,312,806,20.3996190357
1086,31.0,20.0,Sans emploi,351,96,5 portes,128,5238,Renault,37840,179,841,11.342452737
1087,28.0,24.0,Etudiant,650,132,5 portes,160,8718,Opel,66210,254,682,8.8021352255
1088,45.0,26.0,Cadre,644,104,3 portes,154,6864,Citroen,48690,301,596,-11.8990028586
1089,28.0,25.0,Cadre,975,114,SUV,140,13163,Volkswagen,88740,270,660,28.3618362392
1090,34.0,49.0,Cadre,652,132,5 portes,173,3369,Volkswagen,20270,447,588,13.6790577416
1091,41.0,4.0,Etudiant,848,102,5 portes,144,4518,Peugeot,31160,744,758,16.1884785156
1092,53.0,27.0,Ouvrier,704,94,5 portes,146,1328,Peugeot,7130,819,804,19.3469329494
1093,38.0,15.0,Etudiant,272,97,3 portes,133,5986,Renault,38780,333,820,4.92518496558
1094,35.0,11.0,Cadre,487,102,3 portes,145,1999,Renault,9230,589,851,-0.269516793789
1095,18.0,11.0,Ouvrier,579,127,SUV,136,5023,Peugeot,29230,548,686,26.0155064311
1096,40.0,39.0,Ouvrier,317,116,5 portes,151,3052,Peugeot,22490,96,736,13.8054385059
1097,39.0,3.0,Etudiant,572,97,SUV,134,5061,Renault,36380,549,716,32.8041876466
1098,25.0,26.0,Etudiant,670,92,5 portes,113,1657,Toyota,6450,322,640,14.5771168386
1099,46.0,16.0,Cadre,837,112,5 portes,161,1124,Peugeot,2410,891,835,20.0939238077
1100,33.0,9.0,Etudiant,726,127,3 portes,158,4870,Citroen,28700,824,855,-6.90061605701
1101,36.0,6.0,Cadre,880,92,3 portes,126,1826,Citroen,20990,723,856,-16.4064408611
1102,29.0,,Cadre,887,124,3 portes,151,2731,Volkswagen,19890,946,836,-16.4834241553
1103,55.0,14.0,Ouvrier,251,105,SUV,152,3755,Peugeot,37680,332,692,22.046332346
1104,18.0,14.0,Etudiant,941,101,SUV,116,3650,Renault,23000,671,850,41.4719359277
1105,27.0,38.0,Etudiant,542,97,Utilitaire,120,5374,Volkswagen,37430,985,731,46.0399194551
1106,29.0,17.0,Sans emploi,701,91,5 portes,126,3454,Citroen,24000,199,871,13.8069626107
1107,34.0,23.0,Etudiant,427,94,5 portes,134,6071,,42980,234,796,11.7203751258
1108,20.0,21.0,Sans emploi,434,119,5 portes,144,4610,Toyota,27710,287,741,13.2980753485
1109,37.0,7.0,Etudiant,594,80,SUV,111,3979,Peugeot,28880,566,620,33.0768502318
1110,29.0,21.0,Ouvrier,955,94,SUV,120,3573,Peugeot,21400,391,832,40.503128018
1111,24.0,40.0,Etudiant,546,100,5 portes,114,6471,Peugeot,43360,236,628,7.94850062068
1112,36.0,19.0,Cadre,969,84,3 portes,111,4534,Citroen,30490,179,870,-22.0915349933
1113,31.0,29.0,Cadre,951,93,Utilitaire,121,3762,Citroen,24720,637,820,70.5922808086
1114,57.0,37.0,Cadre,824,80,SUV,130,5915,Toyota,41020,554,765,38.4740581101
1115,30.0,18.0,Cadre,535,110,SUV,139,3763,Toyota,30170,451,835,26.9968238039
1116,52.0,31.0,Travailleur non salarie,510,110,SUV,164,4940,Volkswagen,32080,264,616,31.563578508
1117,31.0,3.0,Ouvrier,823,80,5 portes,110,6808,Peugeot,45160,311,552,5.38357328169
1118,24.0,4.0,Ouvrier,522,121,3 portes,140,4160,Renault,29630,944,1010,-8.26756974073
1119,45.0,1.0,Sans emploi,254,85,5 portes,130,4223,Renault,27010,599,615,17.0796793388
1120,32.0,60.0,Cadre,894,72,3 portes,105,2952,Peugeot,17520,479,841,-18.1205466621
1121,50.0,14.0,Ouvrier,447,74,5 portes,123,4016,Renault,32600,610,702,12.4729239411
1122,31.0,17.0,Etudiant,735,107,5 portes,134,3387,Volkswagen,24210,791,863,15.131373016
1123,32.0,17.0,Etudiant,816,65,3 portes,90,3811,Renault,28230,826,788,-14.4359404051
1124,27.0,,Ouvrier,755,98,5 portes,127,2267,Toyota,19040,37,879,10.930600075
1125,30.0,23.0,Ouvrier,976,103,SUV,137,9054,Toyota,62250,676,1016,37.1613592417
1126,32.0,16.0,Etudiant,607,114,3 portes,143,5182,Citroen,39230,100,727,-7.00562412689
1127,41.0,11.0,Ouvrier,948,95,5 portes,134,3425,Renault,25500,57,749,11.9403854
1128,45.0,29.0,Sans emploi,236,117,5 portes,160,3741,Peugeot,25330,459,816,19.9323130944
1129,45.0,17.0,Etudiant,565,94,SUV,136,5320,Citroen,36020,291,959,34.1252807779
1130,23.0,29.0,Ouvrier,629,113,SUV,136,8749,Volkswagen,60120,370,880,21.5821082893
1131,35.0,9.0,Etudiant,672,85,5 portes,122,7261,Renault,43010,190,959,11.2206947573
1132,44.0,8.0,Sans emploi,381,104,SUV,137,3825,,28540,512,703,29.1205952258
1133,30.0,24.0,Ouvrier,848,95,SUV,117,2403,Volkswagen,15950,412,759,38.256830262
1134,47.0,1.0,Etudiant,916,102,3 portes,152,1457,Volkswagen,14420,657,845,-8.21258838576
1135,21.0,25.0,Travailleur non salarie,958,133,3 portes,153,6959,Toyota,47030,712,794,-24.4256130677
1136,47.0,5.0,Etudiant,494,100,5 portes,146,2843,Renault,15870,280,720,20.4690431587
1137,46.0,10.0,Cadre,994,101,3 portes,144,5535,Renault,34500,615,779,-20.0404072147
1138,19.0,7.0,Etudiant,507,102,SUV,124,2224,Opel,17800,677,796,29.4045658388
1139,31.0,9.0,Etudiant,404,105,SUV,134,3835,,27830,807,934,26.7764271244
1140,39.0,35.0,Travailleur non salarie,768,67,SUV,112,3455,Toyota,19770,586,872,37.5068597406
1141,35.0,7.0,Cadre,224,111,5 portes,147,3603,,25550,175,927,11.8024949672
1142,35.0,4.0,Etudiant,360,80,5 portes,108,8460,Peugeot,55870,582,849,7.43684020721
1143,32.0,18.0,Etudiant,305,70,5 portes,107,6698,Renault,50290,799,883,9.05620895865
1144,23.0,24.0,Cadre,457,101,5 portes,122,6790,Peugeot,42690,113,888,4.37233489924
1145,30.0,27.0,Ouvrier,915,81,3 portes,113,3293,Peugeot,19460,746,668,-19.1182430433
1146,68.0,17.0,Etudiant,306,103,3 portes,163,3299,Renault,21470,97,975,15.7312262549
1147,38.0,15.0,Etudiant,979,116,5 portes,149,7677,Volkswagen,56540,524,773,11.3353524214
1148,22.0,7.0,Travailleur non salarie,804,100,3 portes,130,997,Renault,7540,429,746,-14.0162137305
1149,24.0,40.0,Cadre,857,85,5 portes,112,5412,Renault,37360,840,796,4.91529168568
1150,36.0,13.0,Etudiant,579,101,3 portes,136,1755,Peugeot,11370,214,963,0.297666122177
1151,58.0,40.0,Cadre,948,130,5 portes,196,8364,Renault,58920,477,752,13.1095128961
1152,23.0,11.0,Etudiant,683,101,5 portes,121,1626,Peugeot,12150,454,904,14.5773425643
1153,30.0,8.0,Etudiant,922,126,SUV,160,7981,Renault,55200,345,842,39.9861510634
1154,43.0,5.0,Ouvrier,463,121,5 portes,161,2582,Citroen,13190,146,759,17.1593118017
1155,33.0,16.0,Sans emploi,968,82,SUV,111,823,Toyota,12790,960,583,47.5740389979
1156,55.0,7.0,Cadre,983,113,5 portes,164,636,Peugeot,9260,16,678,20.4612056153
1157,29.0,27.0,Etudiant,523,80,5 portes,111,9314,Citroen,70610,517,904,4.09248709457
1158,23.0,5.0,Ouvrier,330,108,Utilitaire,126,5862,Citroen,43440,605,812,26.119442648
1159,24.0,37.0,Cadre,979,108,5 portes,137,2674,,24810,425,825,9.6308736049
1160,26.0,24.0,Cadre,392,97,5 portes,120,4325,,28340,961,863,7.89106993758
1161,40.0,0.0,Sans emploi,839,76,SUV,116,4357,Citroen,30170,801,786,41.7364222001
1162,24.0,4.0,Cadre,953,94,3 portes,112,2964,Renault,21640,675,766,-22.4049942752
1163,22.0,24.0,Etudiant,219,95,3 portes,117,5167,Citroen,38560,909,699,1.97310972035
1164,48.0,14.0,Ouvrier,781,107,SUV,154,8084,Peugeot,56040,600,704,34.4270456705
1165,45.0,21.0,Ouvrier,250,99,3 portes,139,6236,Volkswagen,43030,786,766,1.61687075456
1166,29.0,27.0,Cadre,619,107,5 portes,141,6317,Citroen,43070,637,903,6.80331377666
1167,39.0,11.0,Travailleur non salarie,884,95,SUV,139,4156,Toyota,31650,649,879,40.3274521142
1168,0.0,12.0,Cadre,264,76,SUV,111,2430,Renault,14740,269,758,12.0115677191
1169,43.0,5.0,Cadre,369,99,5 portes,143,4361,Citroen,35670,134,617,11.7264840001
1170,40.0,11.0,Etudiant,827,120,5 portes,157,3704,Peugeot,21560,344,818,18.5570313991
1171,40.0,15.0,Cadre,762,87,Utilitaire,132,5310,Peugeot,47940,92,709,56.5194848302
1172,44.0,5.0,Cadre,808,84,SUV,124,3360,Peugeot,25600,682,743,38.7752873622
1173,27.0,14.0,Ouvrier,612,71,5 portes,101,3058,Peugeot,25620,30,799,8.03461886437
1174,26.0,14.0,Etudiant,418,127,5 portes,144,5574,Renault,36260,233,743,12.0650801221
1175,45.0,4.0,Etudiant,473,84,3 portes,130,4461,Renault,36430,965,864,0.0520496596961
1176,35.0,7.0,Sans emploi,774,115,3 portes,151,8059,Peugeot,50040,189,826,-13.0064767406
1177,18.0,52.0,Cadre,990,102,5 portes,115,1353,Renault,14880,617,843,8.08520329674
1178,32.0,2.0,Travailleur non salarie,447,98,SUV,133,3515,Toyota,17510,773,687,26.7757792395
1179,31.0,47.0,Etudiant,385,101,5 portes,134,3644,Citroen,23940,521,741,14.8322063506
1180,20.0,22.0,Ouvrier,457,127,5 portes,143,3842,Citroen,26790,736,941,8.76276126548
1181,26.0,15.0,Cadre,258,125,5 portes,155,5733,Citroen,38610,369,692,8.20293417214
1182,32.0,30.0,Sans emploi,340,107,5 portes,127,4976,Peugeot,27160,670,939,14.3743256546
1183,30.0,1.0,Etudiant,860,93,5 portes,125,19586,Toyota,133980,288,608,-4.11672449263
1184,41.0,25.0,Etudiant,289,121,Utilitaire,159,1440,Toyota,17900,188,705,37.6866711549
1185,51.0,22.0,Etudiant,325,110,3 portes,162,3251,Citroen,18580,898,835,11.702705509
1186,25.0,5.0,Etudiant,871,101,Utilitaire,125,2421,,16140,822,892,70.3963609956
1187,33.0,8.0,Sans emploi,391,107,3 portes,152,208,Citroen,7120,368,620,7.17609983861
1188,47.0,50.0,Sans emploi,955,88,5 portes,137,9977,Peugeot,67180,651,626,10.1964902545
1189,41.0,17.0,Etudiant,437,111,3 portes,156,3898,,31530,986,850,2.3694779923
1190,42.0,15.0,Cadre,345,96,3 portes,139,3194,Citroen,21730,78,801,3.03841716673
1191,42.0,49.0,Etudiant,523,96,5 portes,144,4659,Citroen,31800,757,822,16.4020053342
1192,37.0,16.0,Travailleur non salarie,205,82,5 portes,124,4635,Peugeot,34720,155,753,9.25585345932
1193,45.0,15.0,Cadre,538,101,3 portes,141,1626,,9120,639,821,-0.414548928751
1194,24.0,30.0,Etudiant,637,106,SUV,128,1670,Peugeot,15270,673,784,35.543288484
1195,28.0,22.0,Cadre,982,78,3 portes,99,5698,Toyota,39220,48,639,-27.2934503008
1196,21.0,11.0,Etudiant,775,104,SUV,139,272,Renault,3820,519,842,41.262396325
1197,33.0,6.0,Travailleur non salarie,508,106,Utilitaire,140,1978,Volkswagen,14490,352,838,46.2377167267
1198,57.0,26.0,Etudiant,496,119,SUV,176,4691,Peugeot,26110,90,910,38.9495780407
1199,25.0,8.0,Cadre,533,117,Utilitaire,145,4300,Renault,29710,473,892,43.0027515108
1200,28.0,8.0,Etudiant,384,91,5 portes,129,2909,Renault,24170,723,568,13.9650594924
1201,25.0,9.0,Ouvrier,337,118,5 portes,140,1249,Citroen,9160,541,798,13.1106337877
1202,25.0,27.0,Cadre,341,107,SUV,142,4113,Renault,31490,244,751,18.5738149793
1203,20.0,21.0,Cadre,831,97,5 portes,121,6851,Opel,47870,333,930,2.38688137643
1204,24.0,9.0,Etudiant,994,88,SUV,105,5765,Renault,39790,473,704,40.6030129531
1205,49.0,14.0,Ouvrier,609,113,5 portes,170,7862,Renault,54740,310,770,10.5487562866
1206,24.0,8.0,Etudiant,427,112,5 portes,137,2207,Peugeot,15160,888,834,15.2438916068
1207,25.0,29.0,Cadre,673,93,3 portes,116,3973,Toyota,29720,106,813,-14.7926703883
1208,25.0,9.0,Ouvrier,332,105,SUV,133,2123,Citroen,13290,506,824,22.0683785712
1209,43.0,56.0,Cadre,651,94,5 portes,139,2362,Peugeot,12840,555,572,15.7921487549
1210,25.0,24.0,Etudiant,453,88,SUV,115,4424,Citroen,33140,513,811,25.4669249015
1211,45.0,8.0,Etudiant,811,86,3 portes,120,2155,Renault,15290,48,660,-7.78375912228
1212,45.0,13.0,Cadre,977,109,5 portes,158,5936,Renault,41340,620,747,11.2803228172
1213,34.0,18.0,Etudiant,987,104,3 portes,141,4174,Renault,24830,167,767,-15.8318679095
1214,25.0,15.0,Cadre,250,105,SUV,126,7631,Renault,49640,635,772,11.6570887794
1215,65.0,6.0,Etudiant,360,103,3 portes,165,8850,Toyota,64510,962,738,1.83749450568
1216,34.0,11.0,Cadre,395,101,5 portes,134,1124,Volkswagen,7620,873,878,14.9651252937
1217,43.0,6.0,Travailleur non salarie,969,113,5 portes,157,1918,Peugeot,18660,6,807,15.9848004851
1218,21.0,17.0,Ouvrier,797,75,5 portes,95,632,Peugeot,7810,433,830,9.7655247549
1219,18.0,12.0,Ouvrier,331,112,3 portes,128,1880,,13110,381,743,-0.800566649145
1220,41.0,2.0,Cadre,221,83,5 portes,125,2796,Peugeot,17370,837,739,14.0757883447
1221,39.0,30.0,Travailleur non salarie,474,97,SUV,134,4360,Citroen,27180,296,844,26.4888895302
1222,25.0,69.0,Travailleur non salarie,404,101,5 portes,118,4633,Volkswagen,33520,689,693,7.30346003387
1223,26.0,10.0,Cadre,871,100,SUV,135,3092,Citroen,26380,991,750,37.0998278148
1224,25.0,15.0,Cadre,957,106,3 portes,136,2741,Renault,17800,972,744,-20.3795239824
1225,35.0,21.0,Cadre,409,86,SUV,119,4242,Citroen,30300,701,688,22.7407810096
1226,45.0,24.0,Cadre,842,125,SUV,171,2187,Volkswagen,13830,941,767,45.0163739346
1227,19.0,17.0,Ouvrier,451,116,5 portes,133,5382,Renault,37120,776,904,4.95599734532
1228,127.0,10.0,Travailleur non salarie,540,107,5 portes,135,7993,Peugeot,53450,625,777,15.4515644186
1229,30.0,32.0,Etudiant,200,110,5 portes,146,4471,Opel,29010,772,683,14.995849984
1230,21.0,1.0,Etudiant,713,94,5 portes,117,5637,Peugeot,36510,471,855,9.278546742
1231,42.0,11.0,Ouvrier,249,74,5 portes,124,4066,Peugeot,30070,395,1028,11.5425820471
1232,,41.0,Sans emploi,593,77,SUV,118,2257,Renault,12320,158,857,34.7313129877
1233,32.0,11.0,Etudiant,323,107,5 portes,142,7975,Peugeot,57590,122,703,8.56172967024
1234,31.0,19.0,Etudiant,887,61,SUV,95,1605,Citroen,10940,966,701,44.543474343
1235,25.0,28.0,Etudiant,356,123,3 portes,150,3480,Peugeot,17850,94,889,4.88658803943
1236,30.0,35.0,Etudiant,568,106,SUV,133,4699,Volkswagen,31650,385,909,31.6500554365
1237,39.0,42.0,Etudiant,636,86,5 portes,124,855,Peugeot,10070,19,772,18.6433989956
1238,39.0,4.0,Cadre,500,91,SUV,128,3408,Toyota,18640,39,850,29.1280557211
1239,51.0,33.0,Sans emploi,307,76,5 portes,124,4498,Citroen,27990,454,845,18.2254591702
1240,32.0,8.0,Etudiant,364,98,3 portes,129,1520,Renault,6650,83,936,7.22254627433
1241,21.0,10.0,Ouvrier,621,105,5 portes,130,4368,Peugeot,29890,435,899,7.14429339188
1242,42.0,10.0,Etudiant,268,117,SUV,172,6388,Renault,43510,641,704,24.2736969333
1243,22.0,1.0,Ouvrier,901,80,Utilitaire,98,2473,Renault,18130,488,882,65.4990354178
1244,20.0,36.0,Cadre,856,115,SUV,131,1945,Toyota,16070,397,660,37.5272938078
1245,39.0,27.0,Ouvrier,275,103,Utilitaire,153,2193,Renault,10000,391,879,33.5254936915
1246,27.0,24.0,Travailleur non salarie,263,98,5 portes,124,904,Peugeot,7620,551,692,12.758154987
1247,33.0,16.0,Cadre,579,100,5 portes,129,7185,Citroen,51980,765,750,5.12486633011
1248,38.0,27.0,Etudiant,228,105,5 portes,143,743,Citroen,6760,510,899,20.6029998024
1249,34.0,9.0,Cadre,994,127,5 portes,155,6664,Citroen,40130,266,686,9.35646190589
1250,24.0,16.0,Ouvrier,279,122,3 portes,142,10070,Peugeot,67420,772,747,-7.88392034961
1251,32.0,25.0,Etudiant,622,112,3 portes,153,2223,Renault,16850,770,824,-2.41847510149
1252,44.0,22.0,Cadre,604,88,5 portes,124,2207,Volkswagen,15610,26,899,15.0008086754
1253,25.0,5.0,Sans emploi,659,96,3 portes,119,5668,Citroen,37890,678,767,-10.9962942279
1254,30.0,20.0,Sans emploi,510,113,Utilitaire,152,3069,Volkswagen,18410,802,732,47.7415331541
1255,31.0,16.0,Cadre,627,105,3 portes,144,336,Citroen,7990,562,849,-5.41493813339
1256,68.0,5.0,Ouvrier,531,88,SUV,168,4643,Peugeot,29340,95,855,36.6030002917
1257,37.0,14.0,Cadre,269,127,Utilitaire,170,1105,Citroen,8500,113,659,34.7388527738
1258,31.0,42.0,Ouvrier,293,135,SUV,164,4555,Opel,34290,869,943,20.9539606509
1259,27.0,18.0,Cadre,942,107,5 portes,133,1170,Renault,9560,752,748,12.3255946954
1260,36.0,58.0,Cadre,526,94,5 portes,127,1490,Renault,7660,509,763,14.5297862868
1261,34.0,8.0,Cadre,749,100,5 portes,137,2087,Peugeot,8460,627,738,15.0246507856
1262,49.0,11.0,Etudiant,878,85,5 portes,132,1963,Peugeot,13230,613,792,20.7528562048
1263,34.0,15.0,Cadre,293,82,SUV,112,10681,Peugeot,72820,436,891,9.5779666294
1264,61.0,45.0,Sans emploi,307,105,SUV,159,4298,Renault,32940,304,714,32.9361254048
1265,26.0,36.0,Etudiant,720,96,5 portes,133,4331,Citroen,28600,972,808,12.7303114489
1266,26.0,31.0,Etudiant,437,113,5 portes,132,5521,Citroen,35770,717,849,11.4196215887
1267,24.0,11.0,Travailleur non salarie,588,143,3 portes,171,5737,Toyota,45370,303,871,-10.8907118509
1268,40.0,13.0,Sans emploi,547,107,5 portes,143,2164,Renault,16950,332,866,18.7445982144
1269,22.0,13.0,Ouvrier,469,100,3 portes,125,1738,Citroen,9400,787,703,-3.38940770999
1270,41.0,5.0,Ouvrier,801,102,3 portes,148,3827,Renault,32950,824,763,-14.4876580119
1271,18.0,52.0,Ouvrier,799,107,5 portes,124,2144,Renault,16320,157,757,8.21661534467
1272,26.0,7.0,Etudiant,338,122,3 portes,151,8888,Peugeot,60120,745,589,-3.58088815637
1273,29.0,44.0,Etudiant,560,103,5 portes,136,1251,Toyota,14680,508,599,16.0084560372
1274,50.0,15.0,Sans emploi,911,113,5 portes,160,3491,Citroen,25830,583,690,20.8109234104
