ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6
116,30000,1,1,2,24,-1,2,0,0,3,2
117,240000,1,1,2,28,-1,-1,-1,-1,-1,-1
118,80000,1,2,2,26,2,0,0,0,0,0
119,400000,1,2,1,34,-1,-1,-1,-1,-1,-1
120,240000,2,2,2,38,0,0,0,0,-1,-1
121,50000,1,3,2,37,2,2,2,3,2,2
122,450000,1,1,1,40,1,-2,-2,-2,-2,-2
123,110000,2,1,1,48,1,-2,-2,-2,-2,-2
124,310000,2,2,1,35,2,0,0,0,0,0
125,20000,1,1,2,27,0,0,0,0,0,0
126,20000,1,2,2,23,1,-2,-2,-2,-2,-2
127,200000,1,3,2,52,0,0,0,0,0,0
128,180000,1,1,1,36,0,0,0,0,0,0
129,50000,1,2,1,51,0,0,0,0,0,0
130,60000,1,3,1,55,3,2,2,0,0,0
131,30000,2,1,2,23,1,-2,-2,-2,-1,-1
132,240000,1,1,2,41,1,-1,-1,0,0,-1
133,420000,1,2,1,34,0,0,0,0,0,0
134,330000,1,3,1,46,0,0,0,0,0,0
135,30000,2,2,2,22,0,0,0,0,0,0
136,240000,1,2,1,34,0,0,0,2,2,2
137,150000,1,1,2,27,0,0,0,0,0,0
138,210000,2,2,1,33,0,0,0,0,0,0
139,50000,2,3,1,51,-1,-1,-1,-1,-2,-2
140,50000,1,1,2,24,0,0,0,0,0,0
141,240000,1,1,2,47,1,-2,-2,-2,-2,-2
142,180000,1,2,2,28,-1,-1,-1,-1,-1,-1
143,50000,1,2,2,23,1,2,2,2,0,0
144,170000,1,2,2,29,-2,-2,-2,-2,-2,-2
145,20000,1,1,2,29,-1,-1,-1,-1,0,-1
146,50000,1,1,2,28,0,0,0,0,0,3
147,170000,2,2,2,27,0,0,0,0,0,0
148,200000,1,1,2,34,1,2,0,0,0,0
149,80000,2,2,1,23,1,2,3,2,0,0
150,260000,2,1,1,60,1,-2,-1,-1,-1,-1
151,140000,1,2,1,32,0,0,0,0,2,0
152,80000,1,1,2,25,0,0,0,0,0,0
153,350000,1,1,2,41,1,-1,-1,-1,-1,-2
154,280000,2,2,1,56,0,0,0,0,0,0
155,30000,2,3,2,26,0,0,0,0,0,0
156,140000,1,1,1,34,0,0,0,0,0,0
157,200000,2,1,2,37,0,0,0,0,0,0
158,200000,2,3,2,30,0,0,0,0,0,0
159,210000,1,3,1,45,2,3,4,4,5,6
160,50000,1,3,1,57,3,2,0,0,0,0
161,30000,1,1,2,41,2,2,2,2,2,0
162,50000,1,2,2,27,2,-1,-1,-1,-1,2
163,290000,1,3,1,47,-1,-1,-1,-1,0,-1
164,250000,2,1,1,34,0,0,2,0,0,0
165,60000,2,2,1,46,0,0,0,0,0,0
166,110000,2,1,2,27,0,0,0,0,0,0
167,370000,1,1,2,50,-2,-2,-2,-2,-2,-2
168,100000,1,2,1,27,-1,2,2,0,0,0
169,90000,2,2,1,35,0,0,0,0,0,2
170,50000,2,2,2,22,0,0,0,0,0,0
171,270000,1,2,2,37,0,0,0,0,0,0
172,300000,2,1,2,30,-1,-1,-1,-1,-1,-1
173,50000,2,2,2,22,-1,0,0,0,0,0
174,50000,2,1,2,24,1,-2,-2,-2,-2,-2
175,360000,1,1,2,29,1,-2,-1,-1,-2,-2
176,130000,1,3,1,56,1,2,2,2,2,3
177,80000,1,1,2,30,-2,-1,0,0,0,0
178,50000,1,2,2,30,1,2,0,0,0,2
179,20000,2,2,2,22,0,0,0,0,0,0
180,80000,2,2,1,29,0,0,2,0,0,0
181,240000,1,1,2,37,-1,-1,2,0,0,-1
182,80000,2,3,2,35,0,-1,0,0,0,0
183,500000,2,1,1,47,0,0,0,0,0,0
184,60000,2,2,1,24,0,0,0,0,0,0
185,20000,1,2,2,25,0,0,0,0,0,-1
186,100000,2,2,1,38,1,2,0,0,2,0
187,360000,2,1,2,32,1,-1,-1,-1,-1,-1
188,200000,2,3,2,47,2,2,2,2,2,2
189,130000,2,2,1,34,1,-1,0,0,0,0
190,20000,2,2,2,31,1,5,4,4,3,2
191,310000,1,1,2,32,0,0,0,0,0,0
192,60000,2,1,2,27,2,0,0,0,2,0
193,180000,2,1,2,29,-1,-1,-1,-2,-1,0
194,180000,2,1,2,24,-1,-1,2,0,0,-2
195,50000,1,2,1,36,0,0,0,0,-1,-1
196,50000,2,1,2,24,1,2,2,2,2,2
197,150000,2,2,1,34,-2,-2,-2,-2,-2,-2
198,20000,2,1,2,22,0,0,0,0,-1,0
199,500000,2,1,1,34,-2,-2,-2,-1,-1,-1
200,30000,2,3,2,22,1,2,2,0,0,0
201,180000,2,1,1,38,-2,-2,-2,-2,-2,-2
202,140000,1,1,2,31,0,0,2,0,0,2
203,140000,2,1,2,26,-1,0,-1,-1,-1,-1
204,120000,1,2,2,26,0,0,0,0,0,0
205,360000,2,2,1,48,0,0,0,0,0,0
206,20000,1,3,1,43,-1,-1,0,0,0,0
207,100000,1,1,1,47,-1,-1,-1,-1,-1,-1
208,210000,2,2,1,41,-1,-1,-1,-1,-1,-1
209,80000,2,2,2,24,0,0,0,0,0,0
210,330000,2,1,1,50,-1,-1,-1,-1,-2,-2
211,220000,1,1,2,24,0,0,0,-1,-1,-1
212,210000,2,1,1,38,1,-2,-1,0,-1,-1
213,40000,2,3,1,43,0,0,0,0,0,0
214,30000,1,2,2,39,0,0,0,2,0,0
215,470000,1,2,2,27,2,2,2,2,0,0
216,30000,1,3,1,42,-1,-1,-1,-1,-1,2
217,240000,2,2,1,36,1,-2,-2,-2,-2,-2
218,80000,1,2,2,36,2,0,0,0,0,0
219,110000,2,3,0,31,0,0,0,0,0,0
220,310000,2,1,2,38,-1,-1,-1,-1,-2,-2
221,360000,2,1,1,40,2,2,2,0,0,0
222,330000,2,3,2,45,0,0,0,0,0,0
223,300000,2,2,2,35,0,0,0,0,0,0
224,320000,2,2,2,33,0,0,0,0,0,0
225,50000,2,3,2,37,1,3,2,0,0,0
226,170000,2,1,2,28,0,0,0,0,0,0
227,350000,1,3,1,44,-1,-1,-1,-1,-1,-2
228,20000,1,2,1,37,0,0,0,0,0,0
229,50000,1,2,2,23,2,0,0,0,0,0
230,20000,2,3,2,24,1,2,0,0,0,0
231,50000,2,1,2,24,0,0,0,0,0,0
232,20000,1,2,2,23,1,2,0,0,2,0
233,50000,1,2,1,26,0,0,-2,-1,-1,0
234,190000,1,2,2,34,2,0,0,0,2,2
235,60000,2,2,1,33,0,0,0,0,0,0
236,80000,1,1,2,35,-1,-1,-1,-1,-1,-1
237,150000,2,2,2,27,0,0,0,0,0,0
238,210000,2,1,2,31,-2,-2,-2,-2,-1,-1
239,240000,2,3,1,50,0,0,0,0,0,0
240,140000,2,2,3,41,0,0,0,0,0,0
241,60000,2,1,2,28,1,2,2,-2,-2,-1
242,50000,1,1,2,39,0,0,0,0,0,0
243,50000,2,2,2,27,0,0,0,0,0,0
244,180000,2,1,2,32,-1,-1,2,2,-1,-1
245,30000,2,1,2,40,-1,-1,2,2,2,2
246,20000,2,2,2,40,0,0,0,0,0,-2
247,250000,2,2,1,75,0,-1,-1,-1,-1,-1
248,100000,2,2,2,27,0,0,0,0,0,0
249,330000,1,1,2,25,0,0,0,0,2,0
250,50000,1,3,1,46,0,0,0,0,0,0
251,50000,2,2,2,26,1,2,2,0,0,0
252,30000,1,2,2,28,0,0,0,0,0,0
253,140000,2,2,2,26,0,0,0,0,0,0
254,160000,2,1,2,28,0,0,0,0,-1,0
255,400000,2,2,2,29,-1,0,-1,-1,-1,-1
256,50000,1,2,1,25,0,0,0,0,0,0
257,140000,2,2,1,48,0,-1,-1,-1,-1,-1
258,160000,2,2,1,33,-1,-1,-1,-1,0,-1
259,100000,2,3,1,43,0,0,-2,-2,-2,-2
260,220000,1,1,1,48,2,0,0,0,0,0
261,510000,2,1,2,29,0,0,0,0,0,0
262,50000,1,2,2,29,0,0,0,0,0,0
263,160000,2,1,1,38,-1,-1,-1,-1,2,-1
264,230000,2,1,2,37,-2,-2,-2,-2,-2,-2
265,80000,2,1,2,37,-1,-1,-1,-1,-1,-1
266,150000,2,2,1,25,-1,-1,-2,-1,-1,-1
267,10000,1,3,2,23,0,0,0,0,0,2
268,130000,2,3,2,49,0,0,0,0,0,0
269,40000,2,1,2,48,0,0,0,0,0,0
270,50000,1,2,2,27,3,2,2,0,0,-1
271,100000,1,3,2,32,0,0,0,0,0,0
272,120000,1,1,1,34,-1,2,-1,0,0,0
273,260000,2,1,2,58,1,-2,-2,-2,-2,-2
274,200000,2,2,2,33,0,0,0,0,0,0
275,360000,2,2,2,28,-2,-2,-2,-2,-2,-2
276,70000,2,2,2,36,0,0,0,0,0,0
277,460000,1,1,1,40,2,-1,-1,-1,-1,-1
278,50000,2,1,2,26,-1,-1,-1,-1,-1,-1
279,50000,1,3,1,33,0,0,0,0,0,0
280,250000,2,2,1,31,0,0,0,0,0,0
281,30000,2,1,2,27,0,0,-1,0,0,-2
282,270000,1,2,1,44,0,0,0,0,-1,-1
283,180000,2,3,2,30,0,0,0,0,0,0
284,100000,2,1,2,28,0,0,0,0,0,0
285,230000,2,3,1,32,0,0,0,0,0,0
286,210000,2,1,1,46,-1,-1,-1,-1,-1,-1
287,210000,1,1,2,38,2,0,0,0,0,0
288,440000,2,2,1,46,0,0,0,0,0,0
289,100000,2,2,2,25,2,0,0,0,0,0
290,240000,2,2,1,46,0,0,0,0,0,0
291,280000,1,1,2,33,-1,-1,-1,-1,-1,-1
292,50000,2,2,2,22,1,-2,-2,-2,-2,-2
293,30000,1,2,1,43,3,2,2,2,2,2
294,10000,1,2,2,27,0,0,2,0,0,0
295,130000,1,1,2,29,1,-2,-2,-2,-2,-2
296,200000,1,1,2,31,0,0,0,0,0,0
297,120000,2,2,1,29,-1,-1,-1,-1,-1,-1
298,210000,2,2,1,36,0,0,0,0,0,0
299,280000,2,1,1,36,0,0,0,0,0,0
300,300000,1,1,2,34,1,-2,-1,0,-1,-1
301,100000,1,2,2,37,0,0,0,0,0,0
302,440000,2,1,2,36,-2,-2,-2,-2,-2,-2
303,50000,2,3,1,40,0,0,0,0,0,0
304,20000,2,1,2,25,0,0,2,0,0,0
305,200000,2,1,2,27,-1,-1,-1,0,0,0
306,110000,2,2,2,26,-2,-2,-2,-2,-2,-2
307,500000,2,2,1,36,-1,-1,-1,-1,-1,-1
308,300000,2,2,1,27,1,-1,-1,-2,-2,-2
309,30000,1,3,1,55,2,2,2,3,3,4
310,60000,2,1,2,27,-1,-1,-1,-1,-1,-1
311,400000,2,2,1,38,-1,0,-1,-1,0,-1
312,180000,2,2,1,34,0,0,0,0,0,0
313,20000,1,1,2,40,0,0,0,2,0,0
314,200000,2,3,1,49,-1,2,2,2,0,0
315,100000,1,1,2,27,0,0,0,0,0,0
316,60000,1,2,2,23,0,0,0,0,0,0
317,110000,2,2,2,36,0,0,0,0,0,0
318,260000,2,3,1,53,1,-1,-1,-2,-2,-1
319,50000,2,3,1,46,3,2,2,0,0,0
320,180000,1,2,2,29,1,-2,-2,-2,-2,-2
321,110000,1,2,2,29,1,2,2,0,0,0
322,340000,2,1,2,27,0,0,0,0,0,0
323,50000,1,2,2,24,-1,0,0,0,0,0
324,230000,2,2,1,28,0,0,0,-2,-1,-1
325,360000,2,2,2,32,0,0,0,0,0,0
326,210000,1,2,2,43,1,-2,-1,0,0,0
327,220000,2,2,1,41,-1,2,2,-1,2,-1
328,60000,2,2,1,34,2,2,2,2,2,0
329,340000,1,2,1,55,-2,-1,-1,-2,-2,-2
330,150000,1,1,1,40,2,2,2,2,2,2
331,200000,2,2,1,37,1,-1,2,-1,-1,-1
332,130000,2,2,2,40,0,0,2,0,0,0
333,60000,2,1,2,28,1,2,0,0,0,0
334,400000,2,2,1,43,1,-2,-2,-2,-1,-1
335,20000,1,1,2,27,0,0,0,0,0,0
336,190000,2,1,2,28,0,0,0,0,0,0
337,260000,2,1,2,30,0,0,0,0,0,0
338,140000,2,2,2,31,-2,-2,-2,-2,-2,-2
339,50000,2,2,1,31,0,0,0,0,0,0
340,120000,2,1,2,34,-1,-1,0,-1,-1,-1
341,240000,2,2,2,30,-2,-2,-2,-2,-2,-2
342,50000,1,2,2,36,0,0,0,0,-1,0
343,200000,2,1,2,29,-1,2,-1,-1,-1,2
344,180000,1,1,1,39,0,0,-1,0,0,-1
345,180000,2,1,2,26,0,0,0,0,0,0
346,160000,2,1,2,29,-1,-1,-2,-1,0,0
347,100000,2,2,2,26,-1,-1,-1,0,0,0
348,50000,2,2,2,29,0,0,0,0,0,0
349,140000,2,2,2,31,0,0,0,0,0,0
350,30000,2,2,2,26,0,0,0,0,0,0
351,90000,1,1,2,26,0,0,-1,0,0,-1
352,200000,1,1,1,36,1,-2,-1,-1,-2,-1
353,380000,1,1,2,30,1,-2,-2,-2,-2,-2
354,80000,2,2,2,43,0,0,0,0,0,0
355,50000,1,3,1,58,2,2,2,0,0,2
356,180000,1,2,1,45,-1,0,0,0,0,0
357,240000,2,2,2,26,0,0,0,0,0,0
358,380000,1,2,2,34,0,0,0,0,0,0
359,110000,2,4,2,24,0,0,0,0,0,0
360,260000,1,1,1,34,-1,-1,-1,-1,-1,-1
361,500000,2,2,2,23,4,3,2,0,0,0
362,320000,2,2,2,30,0,0,0,0,0,0
363,50000,1,2,2,32,4,3,2,0,0,0
364,110000,1,1,1,40,1,-2,-1,0,-1,-1
365,230000,2,1,2,35,-2,-2,-2,-2,-2,-2
366,330000,2,2,1,56,1,-1,-1,-2,-1,-1
367,50000,2,2,1,61,0,0,0,0,0,0
368,10000,1,2,2,24,-1,2,2,2,0,0
369,300000,1,1,1,40,1,-2,-2,-2,-2,-2
370,20000,2,2,1,32,3,2,0,0,0,0
371,180000,1,2,1,36,2,2,-2,-2,-2,-2
372,160000,1,1,2,30,-1,-1,-1,-1,-1,-1
373,90000,2,1,2,34,0,0,0,2,2,2
374,30000,1,3,3,54,0,0,0,0,0,0
375,180000,1,1,1,46,0,0,0,0,0,0
376,30000,1,3,1,58,0,0,0,0,0,0
377,30000,1,2,1,43,1,2,0,0,0,2
378,140000,2,1,2,28,-1,0,0,-1,-1,-1
379,210000,1,1,2,30,0,0,0,0,0,0
380,50000,1,2,2,31,0,0,0,0,0,0
381,130000,2,2,2,29,0,0,0,0,0,0
382,50000,2,2,1,37,2,2,2,0,0,0
383,140000,1,3,1,36,0,0,0,0,0,0
384,170000,2,2,2,28,-1,0,0,2,0,0
385,80000,1,2,2,25,0,0,0,0,0,-2
386,410000,2,5,1,42,0,0,0,0,0,0
387,80000,2,1,2,29,1,-1,-1,-2,-2,-2
388,80000,1,3,1,73,-1,0,0,2,2,2
389,150000,1,2,1,43,0,0,0,0,0,0
390,260000,1,1,1,30,-1,-1,-1,0,0,-1
391,350000,1,1,1,38,1,-2,-2,-2,-2,-2
392,280000,2,2,1,39,1,-1,0,0,0,0
393,310000,1,2,1,44,0,0,0,0,0,0
394,140000,2,2,2,29,0,0,0,0,0,0
395,360000,1,1,1,51,-1,-1,-1,-2,-2,-2
396,140000,2,1,2,27,0,0,0,0,0,0
397,100000,1,1,2,38,0,0,0,0,0,0
398,50000,2,2,2,22,-2,-2,-2,-2,-2,-2
399,210000,2,2,1,30,0,0,0,0,0,0
400,120000,2,2,2,25,2,2,2,2,2,2
401,240000,1,1,2,29,0,0,0,0,0,-1
402,60000,2,3,3,42,0,0,0,0,0,0
403,150000,1,1,2,41,-1,-1,-1,-1,-1,2
404,30000,1,2,1,48,0,0,0,0,0,0
405,160000,2,1,2,29,2,2,2,2,2,2
406,200000,1,1,1,52,-2,-2,-2,-2,-2,-2
407,120000,2,2,1,25,0,0,0,-2,-2,-2
408,500000,1,1,1,37,1,2,0,0,0,0
409,320000,2,1,2,27,0,0,0,0,0,0
410,280000,1,1,2,31,0,0,0,0,0,0
411,60000,2,1,2,23,1,2,2,2,2,2
412,200000,2,1,1,38,-1,-1,-2,-1,-1,-2
413,230000,2,1,1,32,1,-2,-1,-1,-1,-1
414,230000,2,2,2,27,1,2,0,0,0,0
415,480000,2,3,1,41,-2,-2,-2,-2,-2,-2
416,50000,2,3,1,35,-1,-1,-1,-2,-2,-2
417,200000,2,1,2,31,-2,-2,-2,-2,-2,-2
418,50000,2,1,2,30,0,0,0,0,0,2
419,50000,1,2,1,48,0,0,0,0,0,0
420,260000,2,1,2,36,1,-2,-2,-2,-2,-2
421,30000,1,1,2,24,2,0,0,0,0,2
422,440000,2,1,2,29,0,0,0,0,0,0
423,230000,2,2,2,38,-1,-1,-1,-1,-1,-1
424,200000,1,2,1,38,2,2,2,0,0,0
425,490000,2,2,1,30,0,0,0,0,0,0
426,80000,2,2,1,32,-1,-1,-2,-2,-2,-2
427,20000,2,3,2,49,2,2,2,2,0,0
428,170000,2,1,2,31,-1,-1,-1,-1,0,-1
429,70000,1,1,2,27,0,0,0,0,0,0
430,210000,2,2,2,33,0,0,0,0,0,0
431,90000,2,2,2,25,0,0,0,0,0,0
432,390000,2,1,2,27,0,0,0,0,0,0
433,110000,2,1,2,29,0,0,0,0,0,0
434,580000,2,1,1,36,0,0,0,0,0,0
435,360000,1,3,1,55,0,0,-1,-1,-1,-2
436,270000,2,2,1,32,1,2,2,2,2,2
437,60000,2,1,2,27,-1,-1,-2,-1,2,-1
438,110000,1,3,1,37,0,0,0,0,0,0
439,50000,2,1,1,25,0,0,0,0,0,0
440,80000,2,1,2,23,0,0,0,0,0,0
441,50000,1,2,2,23,-1,-1,-1,-1,0,0
442,100000,1,1,2,32,0,0,0,0,2,2
443,30000,2,1,2,26,1,-2,-1,-1,-1,-1
444,200000,2,1,2,27,0,0,0,0,0,0
445,240000,1,1,2,44,0,0,0,0,0,0
446,220000,1,2,2,34,0,0,0,0,0,0
447,160000,2,1,2,28,0,0,0,0,0,0
448,180000,2,1,1,53,-1,-1,-1,0,0,-1
449,200000,1,4,1,42,0,0,0,0,0,0
450,140000,2,3,1,30,0,0,0,2,0,0
451,380000,1,1,1,51,1,-2,-2,-2,-2,-2
452,600000,1,1,1,53,2,2,0,0,0,0
453,260000,1,2,2,37,0,0,0,-1,0,0
454,200000,2,1,2,26,0,0,-2,-2,-2,-2
455,80000,1,2,2,42,0,0,0,0,0,0
456,40000,1,2,2,39,0,0,0,0,0,-1
457,130000,1,3,2,39,1,2,2,2,2,2
458,50000,1,1,2,32,-1,0,0,0,0,-2
459,230000,2,2,1,41,-1,-1,-1,-1,-1,-1
460,70000,1,2,1,48,0,0,0,0,0,-1
461,180000,2,2,1,38,0,0,0,0,0,0
462,80000,2,2,1,36,-1,-1,-1,-1,-1,-1
463,290000,2,2,2,26,0,0,0,-1,-1,0
464,230000,2,1,2,28,0,0,0,0,0,0
465,170000,2,3,3,56,1,-2,-1,-1,-2,-1
466,230000,1,1,1,59,-1,0,0,0,0,0
467,220000,1,1,2,38,0,0,0,0,0,0
468,230000,1,2,2,32,0,0,0,0,0,0
469,500000,1,2,1,38,0,0,0,-1,0,0
470,90000,2,1,1,41,-1,-1,-1,-1,-1,-1
471,390000,2,3,2,35,0,0,0,0,0,0
472,400000,2,2,2,41,0,0,0,0,0,0
473,180000,1,2,1,34,-1,-1,-1,-1,-1,-1
474,60000,1,3,1,38,1,2,2,0,0,2
475,120000,2,2,1,32,-1,-1,-1,-1,-1,-1
476,60000,2,2,2,29,0,0,0,0,0,0
477,50000,1,1,2,44,0,0,0,0,0,0
478,70000,2,2,1,37,0,0,0,2,0,0
479,500000,2,1,1,38,-1,2,-1,-1,-1,0
480,200000,1,1,2,31,-2,-2,-2,-2,-2,-2
481,250000,2,2,1,40,0,0,0,0,-1,2
482,140000,1,2,2,26,0,0,2,2,2,2
483,70000,2,2,2,28,0,0,0,0,-1,2
484,90000,1,3,1,48,1,2,2,2,2,2
485,100000,2,2,1,43,-1,-1,-1,-1,-1,-1
486,190000,1,2,1,31,0,0,0,0,0,0
487,230000,2,1,1,42,-1,-1,-1,-1,-1,-1
488,320000,1,2,1,39,0,0,0,0,0,0
489,220000,2,2,1,36,-1,-1,-1,0,-1,-1
490,260000,2,1,1,34,-1,-1,-1,-1,-1,-1
491,90000,2,2,2,32,-2,-2,-2,-2,-2,-2
492,30000,2,2,1,43,2,2,2,2,2,0
493,260000,1,2,2,30,0,0,0,2,0,0
494,170000,2,2,2,28,0,0,-1,-1,-2,-2
495,80000,2,1,1,28,0,0,0,0,0,0
496,50000,1,1,1,41,-1,-1,-1,-1,-1,-1
497,200000,2,3,2,47,0,0,0,0,0,0
498,20000,1,2,2,23,0,0,2,0,0,0
499,250000,2,1,1,49,-1,-1,-2,-1,-1,-1
500,20000,1,1,1,38,0,0,0,2,2,0
501,30000,2,2,1,38,0,0,0,0,2,2
502,90000,2,2,1,35,1,2,2,2,2,2
503,230000,2,6,2,46,0,0,0,0,0,0
504,130000,2,1,1,33,0,0,0,0,0,0
505,30000,1,6,1,53,-2,-2,-2,-2,-2,-2
506,160000,1,1,2,35,-1,-1,-1,-1,-1,-1
507,500000,2,2,2,43,-1,-1,-1,0,0,-1
508,180000,2,2,2,28,0,0,0,0,0,2
509,80000,2,2,1,30,0,0,0,0,0,2
510,120000,1,1,2,26,-1,-1,-2,-1,-1,-2
511,130000,1,2,1,31,-1,-1,-1,-1,-1,2
512,120000,2,2,2,35,-1,-1,-1,-1,-1,-1
513,360000,1,1,2,28,-1,-1,-1,-1,-1,-1
