index,Age,Prime mensuelle,Categorie socio professionnelle,Kilometres parcourus par mois,Coefficient bonus malus,Type de vehicule,Score CRM,Niveau de vie,Marque,Salaire annuel,Score credit,Cout entretien annuel,Benefice net annuel
1028,19.0,7.0,Ouvrier,462,113,3 portes,132,1561,Peugeot,9270,272,603,-3.43772083342
1029,54.0,28.0,Etudiant,312,81,3 portes,135,1592,Opel,8050,887,738,13.1616841304
1030,42.0,4.0,Etudiant,404,102,Utilitaire,148,2813,Renault,13550,713,842,46.7262358189
1031,31.0,15.0,Etudiant,648,110,5 portes,143,5234,Citroen,30710,341,1010,14.046402093
1032,23.0,55.0,Sans emploi,809,88,SUV,120,7597,,52340,714,736,32.1412920418
1033,,9.0,Etudiant,633,91,3 portes,126,2376,Peugeot,17460,926,922,-3.93409749087
1034,35.0,19.0,Sans emploi,587,117,SUV,145,6051,Renault,34090,562,772,33.9697700946
1035,24.0,12.0,Etudiant,804,111,3 portes,127,6224,Renault,41340,686,746,-16.2947115053
1036,32.0,17.0,Cadre,944,120,5 portes,144,4252,Citroen,28280,540,891,10.7253342173
1037,25.0,27.0,Cadre,592,103,5 portes,125,10939,Peugeot,80410,833,587,-2.38444324681
1038,35.0,39.0,Etudiant,276,85,SUV,116,2954,Toyota,17970,128,893,24.1061804019
1039,24.0,22.0,Sans emploi,311,99,SUV,116,5470,Citroen,41000,318,714,19.4524881181
1040,26.0,4.0,Ouvrier,946,90,SUV,119,1799,Peugeot,14190,697,817,41.2815552259
1041,45.0,1.0,Etudiant,950,96,5 portes,143,5918,,46080,673,847,13.9815441993
1042,18.0,11.0,Ouvrier,784,107,SUV,118,802,Peugeot,7420,330,689,35.5077235792
1043,26.0,11.0,Etudiant,686,122,3 portes,140,945,Volkswagen,6400,179,772,-3.73595091328
1044,38.0,2.0,Travailleur non salarie,900,102,5 portes,144,5259,Volkswagen,42040,836,904,9.33965696543
1045,23.0,21.0,Etudiant,828,127,3 portes,145,2794,,22680,335,887,-12.4026354735
1046,21.0,1.0,Cadre,779,80,SUV,98,8129,Peugeot,57180,599,715,25.543059751
1047,31.0,12.0,Travailleur non salarie,639,97,SUV,121,1719,Renault,16430,66,685,32.1170490486
1048,29.0,11.0,Cadre,778,100,5 portes,129,10367,Peugeot,76930,489,801,-0.468208909682
1049,37.0,36.0,Etudiant,485,69,5 portes,98,5292,Renault,39940,64,853,10.807009071
1050,45.0,19.0,Travailleur non salarie,885,76,5 portes,123,3794,Renault,31460,747,944,11.8870564238
1051,26.0,47.0,Ouvrier,842,95,SUV,125,3874,Volkswagen,24980,551,724,35.0659676325
1052,55.0,48.0,Ouvrier,637,102,5 portes,149,3154,Renault,25540,948,767,16.4569090519
1053,41.0,5.0,Etudiant,249,106,SUV,151,2222,Citroen,12880,579,931,28.6128979617
1054,26.0,16.0,Etudiant,524,101,3 portes,128,2709,Peugeot,15740,25,854,-1.27706897411
1055,28.0,15.0,Cadre,576,95,5 portes,123,1875,Peugeot,17300,381,904,10.9777942459
1056,28.0,23.0,Ouvrier,340,80,SUV,114,2141,Peugeot,14850,516,671,21.5795637192
1057,48.0,16.0,Etudiant,676,101,Utilitaire,146,3977,Peugeot,29510,147,1044,61.9738255632
1058,31.0,9.0,Cadre,227,124,5 portes,148,2595,Peugeot,22130,13,893,11.771279112
1059,26.0,12.0,Cadre,429,107,3 portes,134,6170,Renault,44360,390,697,-8.62662499652
1060,21.0,42.0,Cadre,319,90,SUV,106,4607,Opel,33090,68,993,14.9346892527
1061,28.0,9.0,Sans emploi,641,102,SUV,132,9028,Toyota,60720,476,778,29.2891309229
1062,40.0,18.0,Cadre,308,106,SUV,146,6860,Toyota,44450,537,781,19.5764137073
1063,18.0,29.0,Cadre,345,119,3 portes,133,4180,Renault,33100,257,911,-4.83613825241
1064,45.0,40.0,Ouvrier,964,92,5 portes,140,2550,Toyota,19270,682,995,15.3720668883
1065,37.0,12.0,Cadre,407,107,5 portes,143,1098,Citroen,5840,689,930,16.55087699
1066,42.0,6.0,Ouvrier,617,108,Utilitaire,145,2901,Peugeot,16200,922,853,54.9803654388
1067,51.0,13.0,Ouvrier,386,96,5 portes,149,914,Renault,14920,179,859,17.4551630135
1068,27.0,64.0,Etudiant,219,99,5 portes,120,2587,Renault,13650,706,753,15.3885786055
1069,22.0,19.0,Etudiant,772,94,5 portes,119,1154,Peugeot,8670,73,797,15.1203452834
1070,21.0,18.0,Etudiant,492,101,Utilitaire,122,4266,Peugeot,24520,715,616,43.7542055764
1071,33.0,29.0,Etudiant,577,104,3 portes,136,6920,Citroen,49920,683,993,-8.14246196795
1072,29.0,14.0,Ouvrier,211,82,3 portes,113,3005,Renault,23940,191,579,2.02731018603
1073,18.0,8.0,Cadre,348,98,5 portes,125,7545,Peugeot,52660,300,854,1.92364806587
1074,26.0,16.0,Cadre,644,123,3 portes,142,9421,Peugeot,61870,660,964,-17.8175212562
1075,33.0,24.0,Ouvrier,741,100,SUV,141,3482,Renault,24270,531,1099,34.4317819917
1076,25.0,9.0,Ouvrier,715,73,3 portes,99,4138,,37200,10,868,-17.7403515812
1077,25.0,14.0,Etudiant,958,122,SUV,152,1244,Opel,6320,446,612,49.9739602423
1078,23.0,26.0,Cadre,489,97,Utilitaire,121,6862,Renault,53660,70,787,33.8324482197
1079,68.0,18.0,Cadre,889,103,5 portes,171,7088,Toyota,53040,571,823,14.6463876236
1080,57.0,32.0,Etudiant,800,108,SUV,164,5493,Toyota,42510,270,769,44.398712353
1081,33.0,39.0,Cadre,758,94,SUV,124,345,Peugeot,8840,719,732,38.0029921477
1082,39.0,11.0,Ouvrier,875,85,5 portes,129,1009,Opel,11440,129,638,14.9075763134
1083,49.0,14.0,Ouvrier,912,89,SUV,130,4605,Citroen,35690,918,626,41.0697406352
1084,58.0,1.0,Ouvrier,757,104,Utilitaire,173,9381,Citroen,67810,150,725,58.3717031643
1085,22.0,24.0,Etudiant,249,100,SUV,123,3617,Opel,25510,312,806,20.5069535638
1086,31.0,20.0,Sans emploi,351,96,5 portes,128,5238,Renault,37840,179,841,11.2744700567
1087,28.0,24.0,Etudiant,650,132,5 portes,160,8718,Opel,66210,254,682,8.61223058977
1088,45.0,26.0,Cadre,644,104,3 portes,154,6864,Citroen,48690,301,596,-11.7487412774
1089,28.0,25.0,Cadre,975,114,SUV,140,13163,Volkswagen,88740,270,660,28.4219021936
1090,34.0,49.0,Cadre,652,132,5 portes,173,3369,Volkswagen,20270,447,588,13.4336555369
1091,41.0,4.0,Etudiant,848,102,5 portes,144,4518,Peugeot,31160,744,758,16.1338969702
1092,53.0,27.0,Ouvrier,704,94,5 portes,146,1328,Peugeot,7130,819,804,19.4305168067
1093,38.0,15.0,Etudiant,272,97,3 portes,133,5986,Renault,38780,333,820,4.84377171272
1094,35.0,11.0,Cadre,487,102,3 portes,145,1999,Renault,9230,589,851,-0.381200287236
1095,18.0,11.0,Ouvrier,579,127,SUV,136,5023,Peugeot,29230,548,686,26.1096865708
1096,40.0,39.0,Ouvrier,317,116,5 portes,151,3052,Peugeot,22490,96,736,13.7987507329
1097,39.0,3.0,Etudiant,572,97,SUV,134,5061,Renault,36380,549,716,32.7172813489
1098,25.0,26.0,Etudiant,670,92,5 portes,113,1657,Toyota,6450,322,640,14.75376581
1099,46.0,16.0,Cadre,837,112,5 portes,161,1124,Peugeot,2410,891,835,19.8719000976
1100,33.0,9.0,Etudiant,726,127,3 portes,158,4870,Citroen,28700,824,855,-6.86530100729
1101,36.0,6.0,Cadre,880,92,3 portes,126,1826,Citroen,20990,723,856,-16.3444621728
1102,29.0,,Cadre,887,124,3 portes,151,2731,Volkswagen,19890,946,836,-16.4990775223
1103,55.0,14.0,Ouvrier,251,105,SUV,152,3755,Peugeot,37680,332,692,21.8829340289
1104,18.0,14.0,Etudiant,941,101,SUV,116,3650,Renault,23000,671,850,41.5445496125
1105,27.0,38.0,Etudiant,542,97,Utilitaire,120,5374,Volkswagen,37430,985,731,45.9727665556
1106,29.0,17.0,Sans emploi,701,91,5 portes,126,3454,Citroen,24000,199,871,13.834604561
1107,34.0,23.0,Etudiant,427,94,5 portes,134,6071,,42980,234,796,11.7966072096
1108,20.0,21.0,Sans emploi,434,119,5 portes,144,4610,Toyota,27710,287,741,13.3450288381
1109,37.0,7.0,Etudiant,594,80,SUV,111,3979,Peugeot,28880,566,620,33.0568018284
1110,29.0,21.0,Ouvrier,955,94,SUV,120,3573,Peugeot,21400,391,832,40.592392002
1111,24.0,40.0,Etudiant,546,100,5 portes,114,6471,Peugeot,43360,236,628,7.89945053325
1112,36.0,19.0,Cadre,969,84,3 portes,111,4534,Citroen,30490,179,870,-22.0647532036
1113,31.0,29.0,Cadre,951,93,Utilitaire,121,3762,Citroen,24720,637,820,70.6281813782
1114,57.0,37.0,Cadre,824,80,SUV,130,5915,Toyota,41020,554,765,38.5834534178
1115,30.0,18.0,Cadre,535,110,SUV,139,3763,Toyota,30170,451,835,27.0841547451
1116,52.0,31.0,Travailleur non salarie,510,110,SUV,164,4940,Volkswagen,32080,264,616,31.5014065099
1117,31.0,3.0,Ouvrier,823,80,5 portes,110,6808,Peugeot,45160,311,552,5.4262025494
1118,24.0,4.0,Ouvrier,522,121,3 portes,140,4160,Renault,29630,944,1010,-8.2980636662
1119,45.0,1.0,Sans emploi,254,85,5 portes,130,4223,Renault,27010,599,615,17.0725560506
1120,32.0,60.0,Cadre,894,72,3 portes,105,2952,Peugeot,17520,479,841,-18.2844591808
1121,50.0,14.0,Ouvrier,447,74,5 portes,123,4016,Renault,32600,610,702,12.41443008
1122,31.0,17.0,Etudiant,735,107,5 portes,134,3387,Volkswagen,24210,791,863,15.1532812772
1123,32.0,17.0,Etudiant,816,65,3 portes,90,3811,Renault,28230,826,788,-14.4614724017
1124,27.0,,Ouvrier,755,98,5 portes,127,2267,Toyota,19040,37,879,10.9124390441
1125,30.0,23.0,Ouvrier,976,103,SUV,137,9054,Toyota,62250,676,1016,37.1920253774
1126,32.0,16.0,Etudiant,607,114,3 portes,143,5182,Citroen,39230,100,727,-7.01114997466
1127,41.0,11.0,Ouvrier,948,95,5 portes,134,3425,Renault,25500,57,749,11.9495141366
1128,45.0,29.0,Sans emploi,236,117,5 portes,160,3741,Peugeot,25330,459,816,19.9193036841
1129,45.0,17.0,Etudiant,565,94,SUV,136,5320,Citroen,36020,291,959,34.1023376171
1130,23.0,29.0,Ouvrier,629,113,SUV,136,8749,Volkswagen,60120,370,880,21.5049724739
1131,35.0,9.0,Etudiant,672,85,5 portes,122,7261,Renault,43010,190,959,11.0522716161
1132,44.0,8.0,Sans emploi,381,104,SUV,137,3825,,28540,512,703,29.1293380952
1133,30.0,24.0,Ouvrier,848,95,SUV,117,2403,Volkswagen,15950,412,759,38.2751642079
1134,47.0,1.0,Etudiant,916,102,3 portes,152,1457,Volkswagen,14420,657,845,-8.17781966373
1135,21.0,25.0,Travailleur non salarie,958,133,3 portes,153,6959,Toyota,47030,712,794,-24.3070590119
1136,47.0,5.0,Etudiant,494,100,5 portes,146,2843,Renault,15870,280,720,20.5185404071
1137,46.0,10.0,Cadre,994,101,3 portes,144,5535,Renault,34500,615,779,-20.0784679522
1138,19.0,7.0,Etudiant,507,102,SUV,124,2224,Opel,17800,677,796,29.5577128549
1139,31.0,9.0,Etudiant,404,105,SUV,134,3835,,27830,807,934,26.8361225612
1140,39.0,35.0,Travailleur non salarie,768,67,SUV,112,3455,Toyota,19770,586,872,37.5402069689
1141,35.0,7.0,Cadre,224,111,5 portes,147,3603,,25550,175,927,11.7875377729
1142,35.0,4.0,Etudiant,360,80,5 portes,108,8460,Peugeot,55870,582,849,7.29292119162
1143,32.0,18.0,Etudiant,305,70,5 portes,107,6698,Renault,50290,799,883,8.88641385892
1144,23.0,24.0,Cadre,457,101,5 portes,122,6790,Peugeot,42690,113,888,4.41074395026
1145,30.0,27.0,Ouvrier,915,81,3 portes,113,3293,Peugeot,19460,746,668,-19.0004468782
1146,68.0,17.0,Etudiant,306,103,3 portes,163,3299,Renault,21470,97,975,15.7628326549
1147,38.0,15.0,Etudiant,979,116,5 portes,149,7677,Volkswagen,56540,524,773,11.1261271543
1148,22.0,7.0,Travailleur non salarie,804,100,3 portes,130,997,Renault,7540,429,746,-13.9995472911
1149,24.0,40.0,Cadre,857,85,5 portes,112,5412,Renault,37360,840,796,4.953361205
1150,36.0,13.0,Etudiant,579,101,3 portes,136,1755,Peugeot,11370,214,963,0.399420833015
1151,58.0,40.0,Cadre,948,130,5 portes,196,8364,Renault,58920,477,752,13.17761761
1152,23.0,11.0,Etudiant,683,101,5 portes,121,1626,Peugeot,12150,454,904,14.6643578248
1153,30.0,8.0,Etudiant,922,126,SUV,160,7981,Renault,55200,345,842,39.8217323681
1154,43.0,5.0,Ouvrier,463,121,5 portes,161,2582,Citroen,13190,146,759,17.1885021369
1155,33.0,16.0,Sans emploi,968,82,SUV,111,823,Toyota,12790,960,583,47.5318078412
1156,55.0,7.0,Cadre,983,113,5 portes,164,636,Peugeot,9260,16,678,20.4184081509
1157,29.0,27.0,Etudiant,523,80,5 portes,111,9314,Citroen,70610,517,904,3.94758668886
1158,23.0,5.0,Ouvrier,330,108,Utilitaire,126,5862,Citroen,43440,605,812,26.068870313
1159,24.0,37.0,Cadre,979,108,5 portes,137,2674,,24810,425,825,9.43183195909
1160,26.0,24.0,Cadre,392,97,5 portes,120,4325,,28340,961,863,7.91710901243
1161,40.0,0.0,Sans emploi,839,76,SUV,116,4357,Citroen,30170,801,786,41.7371522221
1162,24.0,4.0,Cadre,953,94,3 portes,112,2964,Renault,21640,675,766,-22.4095249319
1163,22.0,24.0,Etudiant,219,95,3 portes,117,5167,Citroen,38560,909,699,1.99491889531
1164,48.0,14.0,Ouvrier,781,107,SUV,154,8084,Peugeot,56040,600,704,34.4485395138
1165,45.0,21.0,Ouvrier,250,99,3 portes,139,6236,Volkswagen,43030,786,766,1.68091831713
1166,29.0,27.0,Cadre,619,107,5 portes,141,6317,Citroen,43070,637,903,6.91955977929
1167,39.0,11.0,Travailleur non salarie,884,95,SUV,139,4156,Toyota,31650,649,879,40.1989816953
1168,0.0,12.0,Cadre,264,76,SUV,111,2430,Renault,14740,269,758,12.0054689281
1169,43.0,5.0,Cadre,369,99,5 portes,143,4361,Citroen,35670,134,617,11.7858305897
1170,40.0,11.0,Etudiant,827,120,5 portes,157,3704,Peugeot,21560,344,818,18.6035268312
1171,40.0,15.0,Cadre,762,87,Utilitaire,132,5310,Peugeot,47940,92,709,56.8212101415
1172,44.0,5.0,Cadre,808,84,SUV,124,3360,Peugeot,25600,682,743,38.7528486533
1173,27.0,14.0,Ouvrier,612,71,5 portes,101,3058,Peugeot,25620,30,799,8.02081077066
1174,26.0,14.0,Etudiant,418,127,5 portes,144,5574,Renault,36260,233,743,12.0076740696
1175,45.0,4.0,Etudiant,473,84,3 portes,130,4461,Renault,36430,965,864,-0.0502980801647
1176,35.0,7.0,Sans emploi,774,115,3 portes,151,8059,Peugeot,50040,189,826,-12.9272702159
1177,18.0,52.0,Cadre,990,102,5 portes,115,1353,Renault,14880,617,843,8.1127399035
1178,32.0,2.0,Travailleur non salarie,447,98,SUV,133,3515,Toyota,17510,773,687,26.8160777944
1179,31.0,47.0,Etudiant,385,101,5 portes,134,3644,Citroen,23940,521,741,14.8713039183
1180,20.0,22.0,Ouvrier,457,127,5 portes,143,3842,Citroen,26790,736,941,8.80236814049
1181,26.0,15.0,Cadre,258,125,5 portes,155,5733,Citroen,38610,369,692,8.20808858238
1182,32.0,30.0,Sans emploi,340,107,5 portes,127,4976,Peugeot,27160,670,939,14.403098507
1183,30.0,1.0,Etudiant,860,93,5 portes,125,19586,Toyota,133980,288,608,-4.59583925687
1184,41.0,25.0,Etudiant,289,121,Utilitaire,159,1440,Toyota,17900,188,705,37.7615572189
1185,51.0,22.0,Etudiant,325,110,3 portes,162,3251,Citroen,18580,898,835,11.7905949038
1186,25.0,5.0,Etudiant,871,101,Utilitaire,125,2421,,16140,822,892,70.2717820127
1187,33.0,8.0,Sans emploi,391,107,3 portes,152,208,Citroen,7120,368,620,7.12261045985
1188,47.0,50.0,Sans emploi,955,88,5 portes,137,9977,Peugeot,67180,651,626,10.1523415099
1189,41.0,17.0,Etudiant,437,111,3 portes,156,3898,,31530,986,850,2.47265412552
1190,42.0,15.0,Cadre,345,96,3 portes,139,3194,Citroen,21730,78,801,2.9865501893
1191,42.0,49.0,Etudiant,523,96,5 portes,144,4659,Citroen,31800,757,822,16.3801342262
1192,37.0,16.0,Travailleur non salarie,205,82,5 portes,124,4635,Peugeot,34720,155,753,9.28553021493
1193,45.0,15.0,Cadre,538,101,3 portes,141,1626,,9120,639,821,-0.616536120629
1194,24.0,30.0,Etudiant,637,106,SUV,128,1670,Peugeot,15270,673,784,35.6492548737
1195,28.0,22.0,Cadre,982,78,3 portes,99,5698,Toyota,39220,48,639,-27.2029364607
1196,21.0,11.0,Etudiant,775,104,SUV,139,272,Renault,3820,519,842,41.534704772
1197,33.0,6.0,Travailleur non salarie,508,106,Utilitaire,140,1978,Volkswagen,14490,352,838,46.1252739656
1198,57.0,26.0,Etudiant,496,119,SUV,176,4691,Peugeot,26110,90,910,39.0161007407
1199,25.0,8.0,Cadre,533,117,Utilitaire,145,4300,Renault,29710,473,892,42.9237702032
1200,28.0,8.0,Etudiant,384,91,5 portes,129,2909,Renault,24170,723,568,14.0133097759
1201,25.0,9.0,Ouvrier,337,118,5 portes,140,1249,Citroen,9160,541,798,13.0831257163
1202,25.0,27.0,Cadre,341,107,SUV,142,4113,Renault,31490,244,751,18.6279114481
1203,20.0,21.0,Cadre,831,97,5 portes,121,6851,Opel,47870,333,930,2.45460071602
1204,24.0,9.0,Etudiant,994,88,SUV,105,5765,Renault,39790,473,704,40.4906154771
1205,49.0,14.0,Ouvrier,609,113,5 portes,170,7862,Renault,54740,310,770,10.470663263
1206,24.0,8.0,Etudiant,427,112,5 portes,137,2207,Peugeot,15160,888,834,15.3008682538
1207,25.0,29.0,Cadre,673,93,3 portes,116,3973,Toyota,29720,106,813,-14.7217667265
1208,25.0,9.0,Ouvrier,332,105,SUV,133,2123,Citroen,13290,506,824,22.1014938121
1209,43.0,56.0,Cadre,651,94,5 portes,139,2362,Peugeot,12840,555,572,15.5789613445
1210,25.0,24.0,Etudiant,453,88,SUV,115,4424,Citroen,33140,513,811,25.4976601066
1211,45.0,8.0,Etudiant,811,86,3 portes,120,2155,Renault,15290,48,660,-7.72678406789
1212,45.0,13.0,Cadre,977,109,5 portes,158,5936,Renault,41340,620,747,11.3205076353
1213,34.0,18.0,Etudiant,987,104,3 portes,141,4174,Renault,24830,167,767,-15.7725087454
1214,25.0,15.0,Cadre,250,105,SUV,126,7631,Renault,49640,635,772,11.6007404484
1215,65.0,6.0,Etudiant,360,103,3 portes,165,8850,Toyota,64510,962,738,1.67450905768
1216,34.0,11.0,Cadre,395,101,5 portes,134,1124,Volkswagen,7620,873,878,14.9134924251
1217,43.0,6.0,Travailleur non salarie,969,113,5 portes,157,1918,Peugeot,18660,6,807,15.683594368
1218,21.0,17.0,Ouvrier,797,75,5 portes,95,632,Peugeot,7810,433,830,9.76671059032
1219,18.0,12.0,Ouvrier,331,112,3 portes,128,1880,,13110,381,743,-0.863374183365
1220,41.0,2.0,Cadre,221,83,5 portes,125,2796,Peugeot,17370,837,739,13.9447690062
1221,39.0,30.0,Travailleur non salarie,474,97,SUV,134,4360,Citroen,27180,296,844,26.6029831915
1222,25.0,69.0,Travailleur non salarie,404,101,5 portes,118,4633,Volkswagen,33520,689,693,7.05220976912
1223,26.0,10.0,Cadre,871,100,SUV,135,3092,Citroen,26380,991,750,37.1794442061
1224,25.0,15.0,Cadre,957,106,3 portes,136,2741,Renault,17800,972,744,-20.3584124049
1225,35.0,21.0,Cadre,409,86,SUV,119,4242,Citroen,30300,701,688,22.7700553372
1226,45.0,24.0,Cadre,842,125,SUV,171,2187,Volkswagen,13830,941,767,44.9283152043
1227,19.0,17.0,Ouvrier,451,116,5 portes,133,5382,Renault,37120,776,904,4.9329918748
1228,127.0,10.0,Travailleur non salarie,540,107,5 portes,135,7993,Peugeot,53450,625,777,15.718349859
1229,30.0,32.0,Etudiant,200,110,5 portes,146,4471,Opel,29010,772,683,14.9885917384
1230,21.0,1.0,Etudiant,713,94,5 portes,117,5637,Peugeot,36510,471,855,9.21491343356
1231,42.0,11.0,Ouvrier,249,74,5 portes,124,4066,Peugeot,30070,395,1028,11.5253750999
1232,,41.0,Sans emploi,593,77,SUV,118,2257,Renault,12320,158,857,34.8027700649
1233,32.0,11.0,Etudiant,323,107,5 portes,142,7975,Peugeot,57590,122,703,8.45157055331
1234,31.0,19.0,Etudiant,887,61,SUV,95,1605,Citroen,10940,966,701,44.6311829587
1235,25.0,28.0,Etudiant,356,123,3 portes,150,3480,Peugeot,17850,94,889,5.0312246325
1236,30.0,35.0,Etudiant,568,106,SUV,133,4699,Volkswagen,31650,385,909,31.6169762528
1237,39.0,42.0,Etudiant,636,86,5 portes,124,855,Peugeot,10070,19,772,18.7242122839
1238,39.0,4.0,Cadre,500,91,SUV,128,3408,Toyota,18640,39,850,28.96932228
1239,51.0,33.0,Sans emploi,307,76,5 portes,124,4498,Citroen,27990,454,845,18.2525478737
1240,32.0,8.0,Etudiant,364,98,3 portes,129,1520,Renault,6650,83,936,7.36999218191
1241,21.0,10.0,Ouvrier,621,105,5 portes,130,4368,Peugeot,29890,435,899,7.16080469273
1242,42.0,10.0,Etudiant,268,117,SUV,172,6388,Renault,43510,641,704,24.1781444876
1243,22.0,1.0,Ouvrier,901,80,Utilitaire,98,2473,Renault,18130,488,882,65.4564918112
1244,20.0,36.0,Cadre,856,115,SUV,131,1945,Toyota,16070,397,660,37.48598141
1245,39.0,27.0,Ouvrier,275,103,Utilitaire,153,2193,Renault,10000,391,879,33.6135456084
1246,27.0,24.0,Travailleur non salarie,263,98,5 portes,124,904,Peugeot,7620,551,692,12.6870814536
1247,33.0,16.0,Cadre,579,100,5 portes,129,7185,Citroen,51980,765,750,5.31216141207
1248,38.0,27.0,Etudiant,228,105,5 portes,143,743,Citroen,6760,510,899,20.750657706
1249,34.0,9.0,Cadre,994,127,5 portes,155,6664,Citroen,40130,266,686,9.29994879135
1250,24.0,16.0,Ouvrier,279,122,3 portes,142,10070,Peugeot,67420,772,747,-7.82618576525
1251,32.0,25.0,Etudiant,622,112,3 portes,153,2223,Renault,16850,770,824,-2.26283362738
1252,44.0,22.0,Cadre,604,88,5 portes,124,2207,Volkswagen,15610,26,899,15.018556968
1253,25.0,5.0,Sans emploi,659,96,3 portes,119,5668,Citroen,37890,678,767,-11.008768894
1254,30.0,20.0,Sans emploi,510,113,Utilitaire,152,3069,Volkswagen,18410,802,732,47.7433436266
1255,31.0,16.0,Cadre,627,105,3 portes,144,336,Citroen,7990,562,849,-5.42777289458
1256,68.0,5.0,Ouvrier,531,88,SUV,168,4643,Peugeot,29340,95,855,36.5879399209
1257,37.0,14.0,Cadre,269,127,Utilitaire,170,1105,Citroen,8500,113,659,34.5872897509
1258,31.0,42.0,Ouvrier,293,135,SUV,164,4555,Opel,34290,869,943,20.9015164744
1259,27.0,18.0,Cadre,942,107,5 portes,133,1170,Renault,9560,752,748,12.3495795618
1260,36.0,58.0,Cadre,526,94,5 portes,127,1490,Renault,7660,509,763,14.3331117992
1261,34.0,8.0,Cadre,749,100,5 portes,137,2087,Peugeot,8460,627,738,14.8068505076
1262,49.0,11.0,Etudiant,878,85,5 portes,132,1963,Peugeot,13230,613,792,20.8019007442
1263,34.0,15.0,Cadre,293,82,SUV,112,10681,Peugeot,72820,436,891,9.7644360804
1264,61.0,45.0,Sans emploi,307,105,SUV,159,4298,Renault,32940,304,714,32.8454780622
1265,26.0,36.0,Etudiant,720,96,5 portes,133,4331,Citroen,28600,972,808,12.7697794706
1266,26.0,31.0,Etudiant,437,113,5 portes,132,5521,Citroen,35770,717,849,11.4533546566
1267,24.0,11.0,Travailleur non salarie,588,143,3 portes,171,5737,Toyota,45370,303,871,-10.8801697039
1268,40.0,13.0,Sans emploi,547,107,5 portes,143,2164,Renault,16950,332,866,18.7981612317
1269,22.0,13.0,Ouvrier,469,100,3 portes,125,1738,Citroen,9400,787,703,-3.33283256701
1270,41.0,5.0,Ouvrier,801,102,3 portes,148,3827,Renault,32950,824,763,-14.5601329937
1271,18.0,52.0,Ouvrier,799,107,5 portes,124,2144,Renault,16320,157,757,8.1705670287
1272,26.0,7.0,Etudiant,338,122,3 portes,151,8888,Peugeot,60120,745,589,-3.68731913135
1273,29.0,44.0,Etudiant,560,103,5 portes,136,1251,Toyota,14680,508,599,16.0981043601
1274,50.0,15.0,Sans emploi,911,113,5 portes,160,3491,Citroen,25830,583,690,20.8695213198
